trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
104,False,"{'a': 0.585600000000001, 'e': 0.11313523243693502}",20,0,24.08245317797837,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.584500000000001, 'e': 0.11124725860413291}",20,12,12.750804859882098,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.583400000000001, 'e': 0.10939938615769336}",20,0,32.2128865400042,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.582300000000001, 'e': 0.10759066101399833}",30,3,32.75612264806864,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.581200000000001, 'e': 0.10582015405200694}",35,18,31.97921741617111,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5801000000000011, 'e': 0.10408696041092674}",30,19,22.929853930545086,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5790000000000011, 'e': 0.10239019880892308}",20,6,20.674532453101605,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5779000000000011, 'e': 0.10072901088220075}",20,8,21.781478696459526,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5768000000000011, 'e': 0.09910256054381654}",35,13,29.857704322287177,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5757000000000011, 'e': 0.0975100333615998}",30,0,43.93336303685325,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5746000000000011, 'e': 0.09595063595458118}",25,13,12.723729426276115,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5735000000000011, 'e': 0.09442359540734806}",25,2,29.680021071866378,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5724000000000011, 'e': 0.09292815870176403}",30,5,24.68499232537247,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5713000000000011, 'e': 0.0914635921655105}",20,12,12.333764582925495,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5702000000000012, 'e': 0.09002918093692312}",30,9,31.349300059184024,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5691000000000012, 'e': 0.08862422844561564}",20,11,13.702888196660416,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
